label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,slo_rate,ir_gt_1,ir_gt_1_25,ir_gt_1_5,limited_ratio,drop_rate,limiter_events_per_task,score,signature
C278,1.1,1.0,1.3,1.4,0.01,16,0.5,0.5327102803738317,0.028037383177570093,0.0,0.07368421052631578,0.49473684210526314,407.5578947368421,-0.3169208066896212,lt=1.100 | br=1.000 | cc=1.300 | mb=1.400 | dec=0.010 | adj=16
C231,1.1,0.7,1.3,1.4,0.02,12,0.5210526315789473,0.5636363636363636,0.00909090909090909,0.0,0.07368421052631578,0.4789473684210526,344.8578947368421,-0.31889952153110046,lt=1.100 | br=0.700 | cc=1.300 | mb=1.400 | dec=0.020 | adj=12
C237,1.1,0.7,1.4,1.4,0.01,12,0.5105263157894737,0.5636363636363636,0.00909090909090909,0.00909090909090909,0.05263157894736842,0.4842105263157895,301.0736842105263,-0.32153110047846883,lt=1.100 | br=0.700 | cc=1.400 | mb=1.400 | dec=0.010 | adj=12
C228,1.1,0.7,1.3,1.2,0.02,16,0.5210526315789473,0.5636363636363636,0.01818181818181818,0.00909090909090909,0.07894736842105263,0.4789473684210526,389.4157894736842,-0.3215311004784689,lt=1.100 | br=0.700 | cc=1.300 | mb=1.200 | dec=0.020 | adj=16
C248,1.1,0.85,1.2,1.4,0.02,16,0.5157894736842106,0.5596330275229358,0.0,0.0,0.07368421052631578,0.4842105263157895,390.87368421052633,-0.3227909222597778,lt=1.100 | br=0.850 | cc=1.200 | mb=1.400 | dec=0.020 | adj=16
C156,1.05,0.7,1.3,1.2,0.02,16,0.5105263157894737,0.5555555555555556,0.009259259259259259,0.009259259259259259,0.07368421052631578,0.4842105263157895,394.1421052631579,-0.3239766081871345,lt=1.050 | br=0.700 | cc=1.300 | mb=1.200 | dec=0.020 | adj=16
C249,1.1,0.85,1.3,1.2,0.01,12,0.49473684210526314,0.5327102803738317,0.028037383177570093,0.018691588785046728,0.07894736842105263,0.49473684210526314,408.69473684210527,-0.3248155435317265,lt=1.100 | br=0.850 | cc=1.300 | mb=1.200 | dec=0.010 | adj=12
C245,1.1,0.85,1.2,1.4,0.01,12,0.48947368421052634,0.5233644859813084,0.018691588785046728,0.018691588785046728,0.08421052631578947,0.5,445.16315789473686,-0.3259960649286767,lt=1.100 | br=0.850 | cc=1.200 | mb=1.400 | dec=0.010 | adj=12
C18,0.95,0.7,1.4,1.2,0.01,16,0.5157894736842106,0.44036697247706424,0.0,0.0,0.32105263157894737,0.4842105263157895,395.70526315789476,-0.3272090777402221,lt=0.950 | br=0.700 | cc=1.400 | mb=1.200 | dec=0.010 | adj=16
C168,1.05,0.7,1.4,1.4,0.02,16,0.49473684210526314,0.5327102803738317,0.018691588785046728,0.009345794392523364,0.08421052631578947,0.49473684210526314,478.5736842105263,-0.3274471224790949,lt=1.050 | br=0.700 | cc=1.400 | mb=1.400 | dec=0.020 | adj=16
C218,1.1,0.7,1.2,1.2,0.01,16,0.5,0.5327102803738317,0.04672897196261682,0.0,0.08947368421052632,0.5,487.2578947368421,-0.3274471224790949,lt=1.100 | br=0.700 | cc=1.200 | mb=1.200 | dec=0.010 | adj=16
C203,1.05,1.0,1.3,1.2,0.02,12,0.5052631578947369,0.5462962962962963,0.018518518518518517,0.009259259259259259,0.08421052631578947,0.48947368421052634,477.1736842105263,-0.3278752436647173,lt=1.050 | br=1.000 | cc=1.300 | mb=1.200 | dec=0.020 | adj=12
C210,1.05,1.0,1.4,1.2,0.01,16,0.5,0.5420560747663551,0.04672897196261682,0.009345794392523364,0.07894736842105263,0.49473684210526314,506.9789473684211,-0.328898180029513,lt=1.050 | br=1.000 | cc=1.400 | mb=1.200 | dec=0.010 | adj=16
