label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,load,seed,slo_rate,drop_rate,limited_ratio,ir_gt_1,ir_gt_1_25,ir_gt_1_5
C122,1.0,1.0,1.2,1.2,0.01,16,190,7,0.5210526315789473,0.4789473684210526,0.33157894736842103,0.5225225225225225,0.009009009009009009,0.0
C123,1.0,1.0,1.2,1.2,0.02,12,190,7,0.5105263157894737,0.4842105263157895,0.33157894736842103,0.5045871559633027,0.01834862385321101,0.0
C124,1.0,1.0,1.2,1.2,0.02,16,190,7,0.5,0.49473684210526314,0.33157894736842103,0.5700934579439252,0.018691588785046728,0.009345794392523364
C125,1.0,1.0,1.2,1.4,0.01,12,190,7,0.5052631578947369,0.48947368421052634,0.33157894736842103,0.5925925925925926,0.009259259259259259,0.009259259259259259
C126,1.0,1.0,1.2,1.4,0.01,16,190,7,0.49473684210526314,0.5,0.3473684210526316,0.5188679245283019,0.04716981132075472,0.009433962264150943
C127,1.0,1.0,1.2,1.4,0.02,12,190,7,0.5105263157894737,0.48947368421052634,0.3368421052631579,0.5229357798165137,0.0,0.0
C128,1.0,1.0,1.2,1.4,0.02,16,190,7,0.5105263157894737,0.48947368421052634,0.3631578947368421,0.46788990825688076,0.009174311926605505,0.0
C129,1.0,1.0,1.3,1.2,0.01,12,190,7,0.5,0.5,0.3473684210526316,0.514018691588785,0.009345794392523364,0.0
C130,1.0,1.0,1.3,1.2,0.01,16,190,7,0.46842105263157896,0.5263157894736842,0.3526315789473684,0.6213592233009708,0.05825242718446602,0.038834951456310676
C131,1.0,1.0,1.3,1.2,0.02,12,190,7,0.5105263157894737,0.4842105263157895,0.35789473684210527,0.5412844036697247,0.009174311926605505,0.009174311926605505
C132,1.0,1.0,1.3,1.2,0.02,16,190,7,0.5052631578947369,0.49473684210526314,0.3526315789473684,0.5092592592592593,0.0,0.0
C133,1.0,1.0,1.3,1.4,0.01,12,190,7,0.5052631578947369,0.48947368421052634,0.33157894736842103,0.5925925925925926,0.037037037037037035,0.009259259259259259
C134,1.0,1.0,1.3,1.4,0.01,16,190,7,0.5368421052631579,0.4631578947368421,0.35789473684210527,0.5309734513274337,0.017699115044247787,0.0
C135,1.0,1.0,1.3,1.4,0.02,12,190,7,0.5210526315789473,0.4789473684210526,0.3263157894736842,0.5363636363636364,0.01818181818181818,0.0
C136,1.0,1.0,1.3,1.4,0.02,16,190,7,0.49473684210526314,0.4842105263157895,0.34210526315789475,0.5871559633027523,0.03669724770642202,0.03669724770642202
C137,1.0,1.0,1.4,1.2,0.01,12,190,7,0.5052631578947369,0.48947368421052634,0.3526315789473684,0.46296296296296297,0.027777777777777776,0.009259259259259259
C138,1.0,1.0,1.4,1.2,0.01,16,190,7,0.5105263157894737,0.48947368421052634,0.3263157894736842,0.5555555555555556,0.009259259259259259,0.0
C139,1.0,1.0,1.4,1.2,0.02,12,190,7,0.5105263157894737,0.4789473684210526,0.34210526315789475,0.5272727272727272,0.03636363636363636,0.01818181818181818
C140,1.0,1.0,1.4,1.2,0.02,16,190,7,0.5105263157894737,0.48947368421052634,0.3263157894736842,0.5555555555555556,0.009259259259259259,0.0
C141,1.0,1.0,1.4,1.4,0.01,12,190,7,0.49473684210526314,0.5052631578947369,0.34210526315789475,0.5333333333333333,0.02857142857142857,0.0
C142,1.0,1.0,1.4,1.4,0.01,16,190,7,0.5157894736842106,0.4842105263157895,0.34210526315789475,0.5596330275229358,0.009174311926605505,0.0
C143,1.0,1.0,1.4,1.4,0.02,12,190,7,0.49473684210526314,0.5,0.35789473684210527,0.5188679245283019,0.018867924528301886,0.009433962264150943
C144,1.0,1.0,1.4,1.4,0.02,16,190,7,0.5052631578947369,0.49473684210526314,0.3473684210526316,0.514018691588785,0.0,0.0
C145,1.05,0.7,1.2,1.2,0.01,12,190,7,0.5105263157894737,0.4789473684210526,0.05789473684210526,0.5135135135135135,0.02702702702702703,0.018018018018018018
C146,1.05,0.7,1.2,1.2,0.01,16,190,7,0.48947368421052634,0.5052631578947369,0.09473684210526316,0.5188679245283019,0.018867924528301886,0.0
C147,1.05,0.7,1.2,1.2,0.02,12,190,7,0.5157894736842106,0.4842105263157895,0.06842105263157895,0.5045871559633027,0.03669724770642202,0.0
C148,1.05,0.7,1.2,1.2,0.02,16,190,7,0.5157894736842106,0.4842105263157895,0.06315789473684211,0.5,0.02727272727272727,0.0
C149,1.05,0.7,1.2,1.4,0.01,12,190,7,0.5052631578947369,0.48947368421052634,0.06842105263157895,0.46788990825688076,0.009174311926605505,0.009174311926605505
C150,1.05,0.7,1.2,1.4,0.01,16,190,7,0.4789473684210526,0.5105263157894737,0.1,0.5673076923076923,0.10576923076923077,0.019230769230769232
C151,1.05,0.7,1.2,1.4,0.02,12,190,7,0.4789473684210526,0.5157894736842106,0.10526315789473684,0.5096153846153846,0.08653846153846154,0.009615384615384616
C152,1.05,0.7,1.2,1.4,0.02,16,190,7,0.5105263157894737,0.48947368421052634,0.07894736842105263,0.5412844036697247,0.0,0.0
C153,1.05,0.7,1.3,1.2,0.01,12,190,7,0.5157894736842106,0.4842105263157895,0.06315789473684211,0.5,0.0,0.0
C154,1.05,0.7,1.3,1.2,0.01,16,190,7,0.5157894736842106,0.4842105263157895,0.07368421052631578,0.46788990825688076,0.0,0.0
C155,1.05,0.7,1.3,1.2,0.02,12,190,7,0.5105263157894737,0.48947368421052634,0.06842105263157895,0.6018518518518519,0.018518518518518517,0.0
C156,1.05,0.7,1.3,1.2,0.02,16,190,7,0.5105263157894737,0.4842105263157895,0.07368421052631578,0.5555555555555556,0.009259259259259259,0.009259259259259259
C157,1.05,0.7,1.3,1.4,0.01,12,190,7,0.5157894736842106,0.4842105263157895,0.07368421052631578,0.5181818181818182,0.03636363636363636,0.0
C158,1.05,0.7,1.3,1.4,0.01,16,190,7,0.4789473684210526,0.5105263157894737,0.1,0.6,0.0761904761904762,0.01904761904761905
C159,1.05,0.7,1.3,1.4,0.02,12,190,7,0.5052631578947369,0.49473684210526314,0.07368421052631578,0.5887850467289719,0.0,0.0
C160,1.05,0.7,1.3,1.4,0.02,16,190,7,0.5210526315789473,0.4789473684210526,0.06315789473684211,0.5272727272727272,0.0,0.0
C161,1.05,0.7,1.4,1.2,0.01,12,190,7,0.5105263157894737,0.4842105263157895,0.08947368421052632,0.5,0.045454545454545456,0.00909090909090909
C162,1.05,0.7,1.4,1.2,0.01,16,190,7,0.5052631578947369,0.48947368421052634,0.07894736842105263,0.5779816513761468,0.03669724770642202,0.0
C163,1.05,0.7,1.4,1.2,0.02,12,190,7,0.49473684210526314,0.5,0.09473684210526316,0.5700934579439252,0.018691588785046728,0.009345794392523364
C164,1.05,0.7,1.4,1.2,0.02,16,190,7,0.48947368421052634,0.5105263157894737,0.1,0.5523809523809524,0.0761904761904762,0.009523809523809525
C165,1.05,0.7,1.4,1.4,0.01,12,190,7,0.5263157894736842,0.47368421052631576,0.06315789473684211,0.4642857142857143,0.017857142857142856,0.0
C166,1.05,0.7,1.4,1.4,0.01,16,190,7,0.5210526315789473,0.4789473684210526,0.06315789473684211,0.5363636363636364,0.00909090909090909,0.0
C167,1.05,0.7,1.4,1.4,0.02,12,190,7,0.5157894736842106,0.47368421052631576,0.07368421052631578,0.5714285714285714,0.03571428571428571,0.017857142857142856
C168,1.05,0.7,1.4,1.4,0.02,16,190,7,0.49473684210526314,0.49473684210526314,0.08421052631578947,0.5327102803738317,0.018691588785046728,0.009345794392523364
C169,1.05,0.85,1.2,1.2,0.01,12,190,7,0.5210526315789473,0.47368421052631576,0.06315789473684211,0.5089285714285714,0.03571428571428571,0.008928571428571428
C170,1.05,0.85,1.2,1.2,0.01,16,190,7,0.48947368421052634,0.5,0.08947368421052632,0.5377358490566038,0.018867924528301886,0.018867924528301886
C171,1.05,0.85,1.2,1.2,0.02,12,190,7,0.5157894736842106,0.4842105263157895,0.06315789473684211,0.4818181818181818,0.00909090909090909,0.0
C172,1.05,0.85,1.2,1.2,0.02,16,190,7,0.5052631578947369,0.48947368421052634,0.08421052631578947,0.5185185185185185,0.018518518518518517,0.009259259259259259
